1,And To Think That I Saw it On Mulberry Street,1937
2,500 Hats of Bartholomew Cubbins,1938
3,The King’s Stilts,1939
4,The Seven Lady Godivas, 1939
5,Horton Hatches the Egg,1940
6,McElligot’s Pool,1947
7,Thidwick the Big-Hearted Moose,1948
8,Bartholomew and the Ooblek,1949
9,If I Ran the Zoo,1950
10,Gerald McBoing Boing,1952
11,Scrambled Eggs Super!,1953
12,Horton Hears a Who!,1954
14,On Beyond Zebra!,1955
15,If I Ran the Circus,1956
16,The Cat in the Hat,1957
17,How the Grinch Stole Christmas,1957
18,Yertle the Turtle and Other Stories,1958
19,The Cat in the Hat Comes Back,1958
20,Happy Birthday to You!,1959
21,One Fish Two Fish Red Fish Blue Fish,1960
22,Green Eggs and Ham,1960
23,The Sneetches and Other Stories,1961
24,Dr Seuss’s Sleep Book,1962
25,Dr Seuss’s ABC,1963
26,Hop on Pop,1963
27,Fox in Socks,1965
28,I Had Trouble in Getting to Solla Sollew,1965
29,The Foot Book,1968
30,I Can Lick 30 Tigers Today! And Other Stories,1969
31,My Book about Me,1969
32,I Can Draw It Myself,1970
33,Mr Brown Can Moo! Can You?,1970
34,The Lorax,1971
35,Marvin K. Mooney Will You Please Go Now?,1972
36,Did I Ever Tell You How Lucky You Are?,1973
37,The Shape of Me and Other Stuff,1973
38,There’s a Wocket in my Pocket,1974
39,Great Day for Up!,1974
40,"Oh, The Thinks You Can Think!",1975
41,The Cat's Quizzer,1976
42,I Can Read with My Eyes Shut,1978
43,Oh Say Can You Say?,1979
44,Hunches in Bunches,1982
45,The Butter Battle Book,1984
46,You’re Only Old Once!,1986
47,I Am Not Going to Get Up Today!,1987
48,The Tough Coughs as He Ploughs the Dough,1989
49,"Oh, The Places You’ll Go!",1990
50,Daisy-Head Mayzie,1995
51,Dr. Seuss's ABC,1996
52,My Many Colored Days,1996
53,The Big Green Book of Beginner Books,1997
54,"Oh, Baby, The Places You’ll Go!",1997
55,Hooray for Diffendoofer Day!,1998
56,Your Favorite Seuss,2004
57,The Bippolo Seed and Other Lost Stories,2011
58,My Big Book of Beginner Books about Me,2011
59,Horton and the Kwuggerbug and More Lost Stories,2014
60,The Big Orange Book of Beginner Books,2015
61,What Pet Should I Get?,2015
62,The Big Aqua Book of Beginner Books,2017
63,Dr. Seuss's Book of Animals,2018
64,Dr. Seuss's Book of Colors,2018
65,Dr. Seuss's 123,2019
66,Dr. Seuss's Horse Museum,2019
67,The Big Violet Book of Beginner Books,2023
68,Dr. Seuss's If You Think There's Nothing to Do,2024
69,Sing the 50 United States!,2026
